date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:44:56	282401/282401	---M--	200	added ('OK')	image/png	etag:%2261650f47-44f21%22	http://tieuhocyenso.edu.vn/upload/29385/20211012/eab1b066fc5735096c46-removebg-preview__1__80a37fb21e.png	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/upload/29385/20211012/eab1b066fc5735096c46-removebg-preview__1__80a37fb21e.png	(from http://tieuhocyenso.edu.vn/)
20:44:58	84369/84369	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:44:50%20GMT	http://tieuhocyenso.edu.vn/trang-chu/thu-vien-so/gioi-thieu-cuon-sach-lich-su-ve-nguoi-anh-hung-le-lai	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/trang-chu/thu-vien-so/gioi-thieu-cuon-sach-lich-su-ve-nguoi-anh-hung-le-lai.html	(from http://tieuhocyenso.edu.vn/)
20:45:00	7418/7418	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:44:56%20GMT	http://tieuhocyenso.edu.vn/tai-nguyen/e-learning	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/tai-nguyen/e-learning.html	(from http://tieuhocyenso.edu.vn/)
20:45:03	84031/84031	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:44:54%20GMT	http://tieuhocyenso.edu.vn/trang-chu/thu-vien-so/gioi-thieu-sach-nhung-chuyen-viet-cho-thieu-nhi-cua-tac-gia-	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/trang-chu/thu-vien-so/gioi-thieu-sach-nhung-chuyen-viet-cho-thieu-nhi-cua-tac-gia-.html	(from http://tieuhocyenso.edu.vn/)
20:45:03	81416/81416	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:44:55%20GMT	http://tieuhocyenso.edu.vn/tai-nguyen/van-ban-tu-phong	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/tai-nguyen/van-ban-tu-phong.html	(from http://tieuhocyenso.edu.vn/)
20:45:08	82747/82747	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:44:58%20GMT	http://tieuhocyenso.edu.vn/moi-tuan-mot-cau-chuyen-dep-mot-cuon-sach-hay-mot-tam-guong-2?isFeatured=1	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/moi-tuan-mot-cau-chuyen-dep-mot-cuon-sach-hay-mot-tam-guong-2a428.html	(from http://tieuhocyenso.edu.vn/)
20:45:10	92811/92811	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:45:00%20GMT	http://tieuhocyenso.edu.vn/moi-tuan-mot-cau-chuyen-dep-mot-cuon-sach-hay-mot-tam-guong-2/ban-nguyen-minh-duong-hoc-sinh-lop-2a5-truong-tieu-hoc-yen-so	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/moi-tuan-mot-cau-chuyen-dep-mot-cuon-sach-hay-mot-tam-guong-2/ban-nguyen-minh-duong-hoc-sinh-lop-2a5-truong-tieu-hoc-yen-so.html	(from http://tieuhocyenso.edu.vn/)
20:45:12	2954/2954	---M--	200	added ('OK')	image/gif	etag:%226059b161-b8a%22	http://tieuhocyenso.edu.vn/upload/20681/icon_new.gif	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/upload/20681/icon_new.gif	(from http://tieuhocyenso.edu.vn/)
20:45:14	94154/94154	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:45:04%20GMT	http://tieuhocyenso.edu.vn/moi-tuan-mot-cau-chuyen-dep-mot-cuon-sach-hay-mot-tam-guong-2/em-pham-minh-khoi-hoc-sinh-lop-2a2-truong-tieu-hoc-yen-so	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/moi-tuan-mot-cau-chuyen-dep-mot-cuon-sach-hay-mot-tam-guong-2/em-pham-minh-khoi-hoc-sinh-lop-2a2-truong-tieu-hoc-yen-so.html	(from http://tieuhocyenso.edu.vn/)
20:45:15	88329/88329	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:45:05%20GMT	http://tieuhocyenso.edu.vn/moi-tuan-mot-cau-chuyen-dep-mot-cuon-sach-hay-mot-tam-guong-2/gioi-thieu-sach-thang-11-chu-de-biet-on-thay-co-giao	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/moi-tuan-mot-cau-chuyen-dep-mot-cuon-sach-hay-mot-tam-guong-2/gioi-thieu-sach-thang-11-chu-de-biet-on-thay-co-giao.html	(from http://tieuhocyenso.edu.vn/)
